(3399, 665.3327, 3, 1993.98355)	isSS	0.21	(450.7242, 2, 3400, 1.93)	(522.7873, 2, 3402, 0.74)
(4344, 592.74585, 4, 2367.96156)	isSS	1.48	(522.7879, 2, 4349, 0.93)	(637.7143, 2, 4351, 2.45)
(4570, 772.02039, 3, 2314.0466)	isSS	0.64	(610.755, 2, 4572, 0.0)	(522.7875, 2, 4574, 0.19)
(4681, 593.52325, 4, 2371.07118)	isSS	2.49	(639.2651, 2, 4684, 0.46)	(522.7872, 2, 4685, 1.67)
(5687, 655.68744, 3, 1965.04776)	isSS	3.78	(522.7874, 2, 5689, 0.37)	(436.2527, 2, 5691, 1.77)
(5877, 492.0177, 4, 1965.04897)	isSS	4.22	(436.2526, 2, 5879, 0.0)	(522.7874, 2, 5882, 0.19)
(5929, 588.99243, 4, 2352.94789)	isSS	4.59	(522.7873, 2, 5934, 0.56)	(630.2009, 2, 5937, 0.46)
(5961, 584.49915, 4, 2334.97475)	isSS	4.84	(414.4788, 3, 5963, 0.63)	(522.7871, 2, 5965, 1.67)
(6018, 655.68683, 3, 1965.04593)	isSS	2.24	(522.7877, 2, 6023, 0.19)	(436.253, 2, 6025, 0.22)
(6165, 739.00659, 3, 2215.00522)	isSS	1.39	(451.2597, 2, 6171, 0.21)	(632.7613, 2, 6172, 7.09)
(6318, 655.68616, 3, 1965.04392)	isSS	2.34	(522.787, 2, 6319, 0.37)	(436.2526, 2, 6321, 0.22)
(6602, 665.69092, 3, 1995.0582)	isSS	1.64	(522.7873, 2, 6604, 0.93)	(451.2601, 2, 6606, 0.21)
(6634, 655.68744, 3, 1965.04776)	isSS	3.58	(522.7874, 2, 6636, 0.56)	(436.2529, 2, 6638, 0.22)
(6727, 772.02063, 3, 2314.04733)	isSS	1.99	(610.7542, 2, 6731, 0.48)	(522.7871, 2, 6733, 1.11)
(7943, 670.02167, 3, 2008.05045)	isSS	2.55	(436.2523, 2, 7948, 0.44)	(544.2903, 2, 7950, 4.28)
(8578, 705.57892, 4, 2819.29384)	isSS	1.13	(625.3028, 2, 8580, 1.4)	(760.8622, 2, 8583, 0.77)
(9051, 874.36542, 4, 3494.43984)	isSS	3.09	(760.8632, 2, 9056, 0.13)	(962.8818, 2, 9059, 0.92)
(9639, 792.86121, 4, 3168.42299)	isSS	1.81	(625.3033, 2, 9641, 0.94)	(935.425, 2, 9644, 0.42)
(9678, 723.85626, 4, 2892.40321)	isSS	0.12	(797.4183, 2, 9680, 0.25)	(625.3028, 2, 9681, 0.47)
(10110, 771.76758, 3, 2313.28818)	isSS	5.21	(604.3547, 2, 10115, 0.0)	(528.8033, 2, 10117, 1.47)
(11275, 578.82672, 4, 2312.28505)	isSS	3.79	(604.3548, 2, 11280, 0.16)	(528.303, 2, 11283, 0.18)
(12119, 773.37885, 5, 3862.86511)	isSS	3.79	(981.4639, 3, 12125, 0.03)	(436.2527, 2, 12126, 0.22)
(12654, 589.82843, 4, 2356.29189)	isSS	0.86	(604.8576, 2, 12660, 1.45)	(549.807, 2, 12662, 6.89)
(12715, 578.82373, 4, 2312.27309)	isSS	1.63	(604.3552, 2, 12717, 0.48)	(528.3029, 2, 12720, 0.0)
(12758, 589.82538, 4, 2356.27968)	isSS	0.5	(604.8568, 2, 12764, 0.97)	(549.8033, 2, 12766, 5.48)
(13479, 1075.68213, 5, 5374.38153)	isSS	4.42	(760.863, 2, 13481, 0.64)	(1268.8928, 3, 13483, 3.15)
(13809, 1016.46582, 4, 4062.84145)	isSS	4.03	(981.4526, 2, 13811, 0.7)	(1026.4796, 2, 13814, 0.96)
(13850, 578.82599, 4, 2312.28212)	isSS	2.19	(604.3551, 2, 13855, 0.16)	(528.3031, 2, 13858, 0.37)
(14205, 578.82599, 4, 2312.28212)	isSS	3.05	(604.3547, 2, 14210, 0.0)	(528.3025, 2, 14213, 0.0)
