mod, spec_num, cond_pep, spec_num/cond_pep, pep_num, pep_num/cond_pep
Leiker_CLV[334][K],353637,17453,,,
Leiker_CLV[334][S],8448,1319,,,
Leiker_CLV[334][T],1855,516,,,
Leiker_CLV[334][Y],589,173,,,
,10892,2008,,,
Leiker_CLV[334][G],1554,562,,,
Leiker_CLV[334][V],1862,474,,,
Leiker_CLV[334][L],1354,518,,,
,4770,1554,,,
Leiker_CLV[334] (N-term),4577,306,207,,
Leiker_CLV[334] (K),202177,12425,7636,,
Leiker_CLV[334] (S),8185,1157,877,,
Leiker_CLV[334] (T),4370,783,581,,
Leiker_CLV[334] (Y),1321,296,238,,
,13876,2236,1696,,
Leiker_CLV[334] (V),4446,906,722,,
Leiker_CLV[334] (G),4669,1040,800,,
Leiker_CLV[334] (L),4999,1170,970,,
,14114,3116,2492,,
